"","date","Napoli","Piacenza","Parma","Reggio_Emilia","Modena","Bologna","Rimini","Roma","Varese","Como","Milano","Bergamo","Brescia","Pavia","Cremona","Lecco","Lodi","Monza","Bolzano","Torino","Alessandria","Firenze","Verona","Cuneo","Mantova"
"1",2020-02-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2
"2",2020-02-25,0,18,4,0,3,0,1,3,0,0,8,18,0,27,53,0,125,3,1,3,0,1,0,2,7
"3",2020-02-26,0,10,4,0,5,0,2,0,0,0,0,2,2,0,4,0,3,1,0,0,0,1,0,1,4
"4",2020-02-27,3,35,2,0,10,0,3,0,0,0,7,52,8,9,34,0,31,1,0,0,0,0,0,4,7
"5",2020-02-28,1,26,17,1,0,0,3,0,3,0,14,31,3,13,32,0,23,1,0,9,0,6,0,0,0
"6",2020-02-29,9,49,8,3,4,2,6,3,1,1,1,7,1,6,13,0,55,0,0,0,0,0,0,0,0
"7",2020-03-01,4,36,24,3,2,0,1,0,0,1,16,99,35,23,78,2,107,0,0,38,0,0,2,6,1
"8",2020-03-02,0,38,2,1,5,1,3,1,0,0,12,34,11,5,9,1,40,2,0,0,0,0,6,6,7
"9",2020-03-03,13,44,23,6,4,3,5,7,3,2,35,129,26,39,64,1,98,1,0,1,1,3,9,3,3
"10",2020-03-04,0,63,31,6,8,5,9,15,4,1,52,51,41,4,46,1,77,2,0,4,15,5,4,3,1
"11",2020-03-05,0,59,35,11,4,8,35,13,6,6,52,114,28,25,73,3,99,8,0,8,6,8,4,1,0
"12",2020-03-06,0,48,31,13,28,22,25,7,6,0,70,86,27,29,46,3,81,1,3,15,10,3,17,3,1
"13",2020-03-07,0,53,48,4,9,8,11,22,4,12,94,138,231,41,110,24,72,41,5,21,8,4,10,1,0
"14",2020-03-08,28,49,47,22,15,13,9,6,5,4,45,236,88,22,103,18,42,0,0,34,20,12,11,0,0
"15",2020-03-09,10,74,3,33,19,18,51,14,12,13,100,248,238,53,251,13,75,5,0,0,3,12,10,1,3
"16",2020-03-10,6,31,46,1,11,6,42,0,6,6,86,227,51,28,41,23,35,1,29,24,2,10,23,0,1
"17",2020-03-11,35,31,53,10,36,22,39,23,25,31,333,343,561,79,104,24,72,20,37,48,40,10,14,0,4
"18",2020-03-12,13,15,52,9,27,14,67,63,23,21,221,321,247,65,241,86,88,45,29,28,27,15,40,2,8
"19",2020-03-13,31,31,88,15,61,33,51,56,27,20,161,232,186,14,42,38,10,13,21,118,4,15,60,1,2
"20",2020-03-14,31,143,52,15,55,40,35,70,33,36,244,496,338,140,221,50,143,81,48,0,46,31,65,0,3
"21",2020-03-15,17,159,92,32,61,35,27,66,26,30,199,552,351,100,227,57,44,103,31,54,25,30,60,0,27
"22",2020-03-16,31,61,45,56,73,61,84,58,18,36,233,344,445,79,89,42,42,19,37,183,66,24,90,4,3
"23",2020-03-17,39,131,93,58,20,42,0,74,32,36,343,233,382,83,192,54,56,30,50,207,50,28,56,2,12
"24",2020-03-18,0,136,0,115,115,62,104,104,31,30,318,312,484,94,94,26,27,25,85,293,51,81,145,1,15
"25",2020-03-19,100,88,69,194,88,70,78,88,45,52,634,340,463,33,119,64,83,94,60,0,0,54,60,8,4
"26",2020-03-20,58,147,110,165,104,87,66,77,28,42,526,509,401,94,106,146,69,321,112,514,221,52,98,1,0
"27",2020-03-21,47,118,35,204,139,58,69,138,21,72,868,715,380,89,341,142,96,268,73,124,59,50,170,1,22
"28",2020-03-22,41,72,195,190,104,64,116,156,27,60,424,347,289,112,162,54,79,24,57,309,106,63,92,4,17
"29",2020-03-23,39,120,155,202,145,159,93,122,35,69,230,255,588,138,30,62,45,22,46,209,57,34,53,1,13
"30",2020-03-24,45,96,71,68,199,135,49,116,29,54,375,257,393,55,136,81,43,324,57,298,129,74,129,6,3
"31",2020-03-25,38,141,90,149,179,139,52,141,18,71,373,344,299,79,95,61,24,133,77,317,0,87,76,2,5
"32",2020-03-26,39,91,86,112,143,146,53,139,34,56,848,386,334,107,214,83,84,163,48,295,34,55,98,2,22
"33",2020-03-27,69,63,79,163,96,160,75,136,209,54,547,602,374,27,126,51,38,198,97,253,126,0,243,2,15
"34",2020-03-28,93,114,62,135,150,173,59,136,57,87,314,289,373,165,109,106,23,138,106,297,91,91,109,0,3
"35",2020-03-29,71,85,57,150,172,157,34,106,44,111,546,178,335,97,157,65,28,179,105,275,58,102,122,5,4
"36",2020-03-30,93,41,50,62,43,129,25,123,54,47,347,137,200,62,26,56,30,97,111,217,25,65,106,2,6
"37",2020-03-31,62,119,74,99,85,68,25,118,27,40,235,139,154,97,81,33,29,100,46,305,37,65,130,2,5
"38",2020-04-01,108,81,72,246,75,144,38,74,44,56,611,236,231,47,72,46,41,81,47,256,61,71,175,1,6
"39",2020-04-02,118,49,44,112,119,141,11,133,65,48,482,132,159,105,33,36,32,90,61,280,50,261,118,1,10
"40",2020-04-03,149,46,34,135,82,114,55,110,83,51,387,144,257,46,123,42,25,141,80,304,63,124,83,0,2
"41",2020-04-04,70,31,118,108,53,90,12,117,63,63,428,273,166,168,57,34,24,161,33,477,100,83,59,0,1
"42",2020-04-05,34,50,74,158,58,92,30,94,43,65,411,124,160,120,79,50,17,111,52,213,172,89,141,2,4
